Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,004,Afghanistan,5111,Stocks,02121.01,Camels,2023,2023,An,167537,I,Imputed value,
QCL,Crops and livestock products,004,Afghanistan,5111,Stocks,02111,Cattle,2023,2023,An,5597758,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5111,Stocks,02123,Goats,2023,2023,An,8038813,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5111,Stocks,02122,Sheep,2023,2023,An,12239176,I,Imputed value,
QCL,Crops and livestock products,008,Albania,5111,Stocks,02112,Buffalo,2023,2023,An,0,A,Official figure,
QCL,Crops and livestock products,008,Albania,5111,Stocks,02111,Cattle,2023,2023,An,263385,A,Official figure,
QCL,Crops and livestock products,008,Albania,5111,Stocks,02123,Goats,2023,2023,An,640242,A,Official figure,
QCL,Crops and livestock products,008,Albania,5111,Stocks,02122,Sheep,2023,2023,An,1206206,A,Official figure,
QCL,Crops and livestock products,008,Albania,5111,Stocks,02140,Swine / pigs,2023,2023,An,114833,A,Official figure,
QCL,Crops and livestock products,012,Algeria,5111,Stocks,02121.01,Camels,2023,2023,An,439134,E,Estimated value,
QCL,Crops and livestock products,012,Algeria,5111,Stocks,02111,Cattle,2023,2023,An,1806339,I,Imputed value,
QCL,Crops and livestock products,012,Algeria,5111,Stocks,02123,Goats,2023,2023,An,5105938,I,Imputed value,
QCL,Crops and livestock products,012,Algeria,5111,Stocks,02122,Sheep,2023,2023,An,31816014,I,Imputed value,
QCL,Crops and livestock products,012,Algeria,5111,Stocks,02140,Swine / pigs,2023,2023,An,4670,E,Estimated value,
QCL,Crops and livestock products,024,Angola,5111,Stocks,02111,Cattle,2023,2023,An,5181346,I,Imputed value,
QCL,Crops and livestock products,024,Angola,5111,Stocks,02123,Goats,2023,2023,An,4392558,E,Estimated value,
QCL,Crops and livestock products,024,Angola,5111,Stocks,02122,Sheep,2023,2023,An,1167257,E,Estimated value,
QCL,Crops and livestock products,024,Angola,5111,Stocks,02140,Swine / pigs,2023,2023,An,3591236,E,Estimated value,
QCL,Crops and livestock products,028,Antigua and Barbuda,5111,Stocks,02111,Cattle,2023,2023,An,3813,I,Imputed value,
QCL,Crops and livestock products,028,Antigua and Barbuda,5111,Stocks,02123,Goats,2023,2023,An,27180,I,Imputed value,
QCL,Crops and livestock products,028,Antigua and Barbuda,5111,Stocks,02122,Sheep,2023,2023,An,8508,I,Imputed value,
QCL,Crops and livestock products,028,Antigua and Barbuda,5111,Stocks,02140,Swine / pigs,2023,2023,An,5126,I,Imputed value,
QCL,Crops and livestock products,032,Argentina,5111,Stocks,02111,Cattle,2023,2023,An,54242595,A,Official figure,
QCL,Crops and livestock products,032,Argentina,5111,Stocks,02123,Goats,2023,2023,An,4127245,A,Official figure,
QCL,Crops and livestock products,032,Argentina,5111,Stocks,02122,Sheep,2023,2023,An,12609460,A,Official figure,
QCL,Crops and livestock products,032,Argentina,5111,Stocks,02140,Swine / pigs,2023,2023,An,5887401,A,Official figure,
QCL,Crops and livestock products,051,Armenia,5111,Stocks,02112,Buffalo,2023,2023,An,542,A,Official figure,
QCL,Crops and livestock products,051,Armenia,5111,Stocks,02111,Cattle,2023,2023,An,501862,A,Official figure,
QCL,Crops and livestock products,051,Armenia,5111,Stocks,02123,Goats,2023,2023,An,20561,A,Official figure,
QCL,Crops and livestock products,051,Armenia,5111,Stocks,02122,Sheep,2023,2023,An,680410,A,Official figure,
QCL,Crops and livestock products,051,Armenia,5111,Stocks,02140,Swine / pigs,2023,2023,An,180805,A,Official figure,
QCL,Crops and livestock products,036,Australia,5111,Stocks,02112,Buffalo,2023,2023,An,,M,"Missing value (data cannot exist, not applicable)",
QCL,Crops and livestock products,036,Australia,5111,Stocks,02111,Cattle,2023,2023,An,29878186,A,Official figure,
QCL,Crops and livestock products,036,Australia,5111,Stocks,02123,Goats,2023,2023,An,4116926,I,Imputed value,
QCL,Crops and livestock products,036,Australia,5111,Stocks,02122,Sheep,2023,2023,An,72102519,I,Imputed value,
QCL,Crops and livestock products,036,Australia,5111,Stocks,02140,Swine / pigs,2023,2023,An,2470138,I,Imputed value,
QCL,Crops and livestock products,040,Austria,5111,Stocks,02111,Cattle,2023,2023,An,1835470,A,Official figure,
QCL,Crops and livestock products,040,Austria,5111,Stocks,02123,Goats,2023,2023,An,96940,A,Official figure,
QCL,Crops and livestock products,040,Austria,5111,Stocks,02122,Sheep,2023,2023,An,391870,A,Official figure,
QCL,Crops and livestock products,040,Austria,5111,Stocks,02140,Swine / pigs,2023,2023,An,2516460,A,Official figure,
QCL,Crops and livestock products,031,Azerbaijan,5111,Stocks,02112,Buffalo,2023,2023,An,108093,A,Official figure,
QCL,Crops and livestock products,031,Azerbaijan,5111,Stocks,02121.01,Camels,2023,2023,An,361,A,Official figure,
QCL,Crops and livestock products,031,Azerbaijan,5111,Stocks,02111,Cattle,2023,2023,An,2399626,A,Official figure,
